,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name
0,1,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute
1,2,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute
2,3,CA-2017-138688,2017-12-05T10:00:00Z,1900-01-14T16:54:00Z,Second Class,DV-13045,Darrin Van Huff
3,4,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell
4,5,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell
5,6,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
6,7,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
7,8,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
8,9,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
9,10,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
10,11,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
11,12,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman
12,13,CA-2018-114412,1900-01-13T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,AA-10480,Andrew Allen
13,14,CA-2017-161389,2017-05-11T10:00:00Z,2017-10-11T10:00:00Z,Standard Class,IM-15070,Irene Maddox
14,15,US-2016-118983,1900-01-20T16:54:00Z,1900-01-24T16:54:00Z,Standard Class,HP-14815,Harold Pawlan
15,16,US-2016-118983,1900-01-20T16:54:00Z,1900-01-24T16:54:00Z,Standard Class,HP-14815,Harold Pawlan
16,17,CA-2015-105893,2015-11-10T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,PK-19075,Pete Kriz
17,18,CA-2015-167164,1900-01-11T16:54:00Z,1900-01-13T16:54:00Z,Second Class,AG-10270,Alejandro Grove
18,19,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli
19,20,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli
20,21,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli
21,22,CA-2017-137330,2017-09-11T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,KB-16585,Ken Black
22,23,CA-2017-137330,2017-09-11T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,KB-16585,Ken Black
23,24,US-2018-156909,1900-01-14T16:54:00Z,1900-01-16T16:54:00Z,Second Class,SF-20065,Sandra Flanagan
24,25,CA-2016-106320,1900-01-23T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,EB-13870,Emily Burns
25,26,CA-2017-121755,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Second Class,EH-13945,Eric Hoffmann
26,27,CA-2017-121755,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Second Class,EH-13945,Eric Hoffmann
27,28,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
28,29,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
29,30,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
30,31,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
31,32,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
32,33,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
33,34,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein
34,35,CA-2018-107727,1900-01-17T16:54:00Z,1900-01-21T16:54:00Z,Second Class,MA-17560,Matt Abelman
35,36,CA-2017-117590,2017-08-11T10:00:00Z,2017-10-11T10:00:00Z,First Class,GH-14485,Gene Hale
36,37,CA-2017-117590,2017-08-11T10:00:00Z,2017-10-11T10:00:00Z,First Class,GH-14485,Gene Hale
37,38,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen
38,39,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen
39,40,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen
40,41,CA-2016-117415,1900-01-25T16:54:00Z,1900-01-29T16:54:00Z,Standard Class,SN-20710,Steve Nguyen
41,42,CA-2018-120999,2018-10-08T10:00:00Z,1900-01-13T16:54:00Z,Standard Class,LC-16930,Linda Cazamias
42,43,CA-2017-101343,1900-01-15T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,RA-19885,Ruben Ausman
43,44,CA-2018-139619,1900-01-17T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,ES-14080,Erin Smith
44,45,CA-2017-118255,2017-11-02T10:00:00Z,1900-01-11T16:54:00Z,First Class,ON-18715,Odella Nelson
45,46,CA-2017-118255,2017-11-02T10:00:00Z,1900-01-11T16:54:00Z,First Class,ON-18715,Odella Nelson
46,47,CA-2015-146703,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Second Class,PO-18865,Patrick O'Donnell
47,48,CA-2017-169194,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,LH-16900,Lena Hernandez
48,49,CA-2017-169194,1900-01-18T16:54:00Z,1900-01-23T16:54:00Z,Standard Class,LH-16900,Lena Hernandez
49,50,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers
50,51,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers
51,52,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers
52,53,CA-2016-115742,1900-01-16T16:54:00Z,1900-01-20T16:54:00Z,Standard Class,DP-13000,Darren Powers
53,54,CA-2017-105816,2017-11-11T10:00:00Z,1900-01-15T16:54:00Z,Standard Class,JM-15265,Janet Molinari
54,55,CA-2017-105816,2017-11-11T10:00:00Z,1900-01-15T16:54:00Z,Standard Class,JM-15265,Janet Molinari
55,56,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
56,57,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
57,58,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
58,59,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
59,60,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
60,61,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
61,62,CA-2017-111682,1900-01-15T16:54:00Z,1900-01-16T16:54:00Z,First Class,TB-21055,Ted Butterfield
62,63,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller
63,64,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller
64,65,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller
65,66,CA-2016-135545,1900-01-22T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,KM-16720,Kunst Miller
66,67,US-2016-164175,1900-01-28T16:54:00Z,2016-05-04T10:00:00Z,Standard Class,PS-18970,Paul Stevenson
67,68,CA-2015-106376,2015-05-11T10:00:00Z,2015-10-11T10:00:00Z,Standard Class,BS-11590,Brendan Sweed
68,69,CA-2015-106376,2015-05-11T10:00:00Z,2015-10-11T10:00:00Z,Standard Class,BS-11590,Brendan Sweed
69,70,CA-2017-119823,2017-04-05T10:00:00Z,2017-06-05T10:00:00Z,First Class,KD-16270,Karen Daniels
70,71,CA-2017-106075,1900-01-16T16:54:00Z,1900-01-21T16:54:00Z,Standard Class,HM-14980,Henry MacAllister
71,72,CA-2018-114440,1900-01-12T16:54:00Z,1900-01-15T16:54:00Z,Second Class,TB-21520,Tracy Blumstein
