,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name
0,1,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
1,2,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
2,3,CA-2017-138688,2017-12-05T10:00:00Z,1900-01-14T16:54:00Z,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
3,4,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
4,5,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
5,6,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
6,7,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322
7,8,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
8,9,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
9,10,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
10,11,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
11,12,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
12,13,CA-2018-114412,1900-01-13T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
13,14,CA-2017-161389,2017-05-11T10:00:00Z,2017-10-11T10:00:00Z,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
14,15,US-2016-118983,1900-01-20T16:54:00Z,1900-01-24T16:54:00Z,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
