Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City
1,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson
2,CA-2017-152156,2017-08-10T10:00:00Z,2017-11-10T10:00:00Z,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson
3,CA-2017-138688,2017-12-05T10:00:00Z,1900-01-14T16:54:00Z,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles
4,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale
5,US-2016-108966,2016-11-09T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale
6,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
7,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
8,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
9,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
10,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
11,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
12,CA-2015-115812,2015-09-05T10:00:00Z,1900-01-12T16:54:00Z,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles
13,CA-2018-114412,1900-01-13T16:54:00Z,1900-01-18T16:54:00Z,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord
14,CA-2017-161389,2017-05-11T10:00:00Z,2017-10-11T10:00:00Z,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle
15,US-2016-118983,1900-01-20T16:54:00Z,1900-01-24T16:54:00Z,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth
16,US-2016-118983,1900-01-20T16:54:00Z,1900-01-24T16:54:00Z,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth
17,CA-2015-105893,2015-11-10T10:00:00Z,1900-01-16T16:54:00Z,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison
18,CA-2015-167164,1900-01-11T16:54:00Z,1900-01-13T16:54:00Z,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan
19,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco
20,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco
21,CA-2015-143336,1900-01-25T16:54:00Z,2015-01-08T10:00:00Z,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco
22,CA-2017-137330,2017-09-11T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont
23,CA-2017-137330,2017-09-11T10:00:00Z,1900-01-11T16:54:00Z,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont
24,US-2018-156909,1900-01-14T16:54:00Z,1900-01-16T16:54:00Z,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia
25,CA-2016-106320,1900-01-23T16:54:00Z,1900-01-28T16:54:00Z,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem
26,CA-2017-121755,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles
27,CA-2017-121755,1900-01-14T16:54:00Z,1900-01-18T16:54:00Z,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles
28,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
29,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
30,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
31,US-2016-150630,1900-01-15T16:54:00Z,1900-01-19T16:54:00Z,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia
